name,positions,rating,nationality,club,league
A. Al Abdulrazzaq,CB,51,Saudi Arabia,Al Taawoun,Pro League
A. Al Ahrak,CAM; CM,64,Qatar,,
A. Al Ahsaei,GK,55,Saudi Arabia,Al Khaleej,Pro League
A. Al Ahsai,GK,56,Saudi Arabia,Al Khaleej,Pro League
A. Al Alawi,LB,55,Saudi Arabia,Al Nassr,Pro League
A. Al Amer,CB,56,Saudi Arabia,Al Faisaly,Pro League
A. Al Ammar,CM,56,Saudi Arabia,Al Hilal,Pro League
A. Al Amoudi,ST; RM,55,Saudi Arabia,Al Raed,Pro League
A. Al Amri,GK,50,Saudi Arabia,Al Ittihad,Pro League
A. Al Anzi,CDM; LM; LB,55,Saudi Arabia,Al Faisaly,Pro League
A. Al Araaf,GK,50,Saudi Arabia,Al Wehda,Pro League
A. Al Arishi,CB,56,Saudi Arabia,Al Shabab,Pro League
A. Al Arraf,GK,60,Saudi Arabia,Al Wehda,Pro League
A. Al Aryani,ST,56,Saudi Arabia,Al Ittihad,Pro League
A. Al Ashwan,CDM; CB,54,Saudi Arabia,Al Fateh,Pro League
A. Al Asiri,CDM; CB,51,Saudi Arabia,Al Raed,Pro League
A. Al Asmari,CAM; CM; CDM,62,Saudi Arabia,Al Ahli,Pro League
A. Al Assiri,LB,55,Saudi Arabia,Ohod Club,Pro League
A. Al Asta,LB,65,Saudi Arabia,Al Shabab,Pro League
A. Al Astaa,LB,60,Saudi Arabia,Al Shabab,Pro League
A. Al Auichir,GK,64,Saudi Arabia,Al Fateh,Pro League
A. Al Awad,CM,48,Saudi Arabia,Hajer,Pro League
A. Al Awafi,CAM; RM; LM,59,Saudi Arabia,Al Fateh,Pro League
A. Al Awjami,CDM,52,Saudi Arabia,Al Khaleej,Pro League
A. Al Ayeri,CDM,51,Saudi Arabia,Al Taawoun,Pro League
A. Al Azmi,CDM; CM; LM,56,Saudi Arabia,Al Hilal,Pro League
A. Al Badaoui,CAM; RM; LM,65,Morocco,Alcorcón,La Liga 2
A. Al Bahri,GK,56,Saudi Arabia,Ettifaq FC,Pro League
A. Al Baraka,CDM,49,Saudi Arabia,Al Shabab,Pro League
A. Al Barakah,CDM; CM,62,Saudi Arabia,Al Fayha,Pro League
A. Al Basisi,GK,52,Saudi Arabia,Ohod Club,Pro League
A. Al Beladi,ST,53,Saudi Arabia,Al Fateh,Pro League
A. Al Belwi,CDM; CM,55,Saudi Arabia,Al Quadisiya,Pro League
A. Al Beshi,CM,50,Saudi Arabia,Al Shabab,Pro League
A. Al Bilady,RM,49,Saudi Arabia,Al Fateh,Pro League
A. Al Bishi,LM,63,Saudi Arabia,Al Shabab,Pro League
A. Al Boabeed,CAM; ST,56,Saudi Arabia,Al Fateh,Pro League
A. Al Bukhari,RB,51,Saudi Arabia,Al Khaleej,Pro League
A. Al Bulayhi,CB,57,Saudi Arabia,Al Fateh,Pro League
A. Al Burayh,CM,55,Saudi Arabia,Damac FC,Pro League
A. Al Dabbas,LM,58,Saudi Arabia,Hajer,Pro League
A. Al Dakheel,CB,50,Saudi Arabia,Al Taawoun,Pro League
A. Al Dawsari,LB; CB; RB,55,Saudi Arabia,Al Fateh,Pro League
A. Al Dhafeeri,CM,53,Saudi Arabia,Al Batin,Pro League
A. Al Dhefere,ST,53,Saudi Arabia,Al Taawoun,Pro League
A. Al Dhefiri,CDM,49,Kuwait,Al Quadisiya,Pro League
A. Al Dheyabi,LM,55,Saudi Arabia,Al Batin,Pro League
A. Al Dohaim,CB; RB,61,Saudi Arabia,Al Ittihad,Pro League
A. Al Dohim,CB; RB,50,Saudi Arabia,Al Ittihad,Pro League
A. Al Dosari,LM; CAM; RM,69,Saudi Arabia,Al Hilal,Pro League
A. Al Dosary,CDM; CB; CM,61,Saudi Arabia,Al Fateh,Pro League
A. Al Dossari,CB; LB; RB,52,Saudi Arabia,Al Shabab,Pro League
A. Al Ehsei,GK,56,Saudi Arabia,Al Khaleej,Pro League
A. Al Eid,CAM,52,Saudi Arabia,Al Fateh,Pro League
A. Al Enazi,GK,72,Saudi Arabia,Al Nassr,Pro League
A. Al Enezi,GK,70,Saudi Arabia,Al Nassr,Pro League
A. Al Fadhel,CM,48,Saudi Arabia,Al Hilal,Pro League
A. Al Fahad,CM,46,Saudi Arabia,Al Faisaly,Pro League
A. Al Fahmi,GK,61,Saudi Arabia,Al Wehda,Pro League
A. Al Faraj,CDM; RM; CM,69,Saudi Arabia,Al Nassr,Pro League
A. Al Fawaghra,LM; RM; ST,69,Palestine,Hajer,Pro League
A. Al Fiqi,RM,60,Saudi Arabia,Al Hilal,Pro League
A. Al Fraidi,CAM; CM,66,Saudi Arabia,Al Nassr,Pro League
A. Al Garni,GK,57,Saudi Arabia,Al Ittihad,Pro League
A. Al Geaidy,RW; LW,55,Saudi Arabia,Al Fateh,Pro League
A. Al Ghamdi,GK,51,Saudi Arabia,Al Taawoun,Pro League
A. Al Ghannam,CDM,62,Saudi Arabia,Al Hilal,Pro League
A. Al Gizani,ST,49,Saudi Arabia,Hajer,Pro League
A. Al Habib,CB,57,Saudi Arabia,Al Raed,Pro League
A. Al Habsi,GK,72,Oman,Al Hilal,Pro League
A. Al Hafith,CB,65,Saudi Arabia,Al Hilal,Pro League
A. Al Hafiz,CB,64,Saudi Arabia,Hajer,Pro League
A. Al Haidari,LB,52,Saudi Arabia,Ohod Club,Pro League
A. Al Haider,LM; RM,59,Saudi Arabia,Damac FC,Pro League
A. Al Haizan,ST,54,Saudi Arabia,Al Tai,Pro League
A. Al Hajeri,LB; CDM,56,Saudi Arabia,Al Wahda,Pro League
A. Al Haji,ST,52,Saudi Arabia,Al Khaleej,Pro League
A. Al Hajji,RM; CAM,53,Saudi Arabia,Al Khaleej,Pro League
A. Al Hamdan,ST,60,Saudi Arabia,Sporting Gijón,La Liga 2
A. Al Hamlawi,ST,53,Sweden,Helsingborg,Allsvenskan
A. Al Harajin,RM,52,Saudi Arabia,Hajer,Pro League
A. Al Harbi,LM; LW,49,Saudi Arabia,Al Taawoun,Pro League
A. Al Harthi,RM; LM,58,Saudi Arabia,Al Hazm,Pro League
A. Al Hassan,CM,51,Saudi Arabia,Al Fateh,Pro League
A. Al Hbeab,RB,47,Saudi Arabia,Najran SC,Pro League
A. Al Hdheriti,ST,53,Saudi Arabia,Al Raed,Pro League
A. Al Hejaili,LM; CAM,58,Saudi Arabia,Damac FC,Pro League
A. Al Hidhani,RB,56,United Arab Emirates,Al Ain FC,Rest of World
A. Al Humayan,CM; RM,59,Saudi Arabia,Al Adalah,Pro League
A. Al Hurabi,CDM; CM,59,Saudi Arabia,Al Tai,Pro League
A. Al Hurib,CAM; CDM,53,Saudi Arabia,Hajer,Pro League
A. Al Jadaani,GK,62,Saudi Arabia,Al Hilal,Pro League
A. Al Jadani,GK,50,Saudi Arabia,Najran SC,Pro League
A. Al Jahdali,CB,56,Saudi Arabia,Al Qadisiyah,Pro League
A. Al Jamaan,RM; LM,58,Saudi Arabia,Al Raed,Pro League
A. Al Jawaey,RM,57,Saudi Arabia,Al Batin,Pro League
A. Al Jebreen,CM; CDM; LM; CB,65,Saudi Arabia,Al Nassr,Pro League
A. Al Joni,CM,49,Saudi Arabia,Hajer,Pro League
A. Al Joui,RM; LM,57,Saudi Arabia,Al Batin,Pro League
A. Al Jowayed,CDM,56,Saudi Arabia,Al Hazm,Pro League
A. Al Kaabi,RM; LM,59,Saudi Arabia,Al Shoulla,Pro League
A. Al Kassar,GK,65,Saudi Arabia,Al Raed,Pro League
A. Al Katheri,ST,55,Saudi Arabia,Al Shoulla,Pro League
A. Al Khaibari,CB,58,Saudi Arabia,Al Nassr,Pro League
A. Al Khaibary,CM; CAM; RM,51,Saudi Arabia,Al Shoulla,Pro League
A. Al Khaibri,CDM,66,Saudi Arabia,Al Shabab,Pro League
A. Al Khair,CDM; CM,60,Saudi Arabia,Al Shoulla,Pro League
A. Al Khamis,CDM,56,Saudi Arabia,Al Adalah,Pro League
A. Al Khatib,CB,59,Saudi Arabia,Al Ittifaq,Pro League
A. Al Khulaif,RM,56,Saudi Arabia,Al Ahli Jeddah,Pro League
A. Al Malki,CDM,56,Saudi Arabia,Al Wehda,Pro League
A. Al Mansour,CAM; CM,56,Saudi Arabia,Al Wehda,Pro League
A. Al Mayoof,GK,67,Saudi Arabia,Al Ahli Jeddah,Pro League
A. Al Mazaidi,GK,63,Saudi Arabia,Al Fateh,Pro League
A. Al Mazidi,GK,60,Saudi Arabia,Al Fateh,Pro League
A. Al Mazyadi,GK,54,Saudi Arabia,Al Fateh,Pro League
A. Al Mbarak,LM; CDM; CAM,61,Saudi Arabia,Al Fateh,Pro League
A. Al Megbas,ST,58,Saudi Arabia,Al Shabab,Pro League
A. Al Meqran,ST,53,Saudi Arabia,Al Raed,Pro League
A. Al Meshaweh,GK,55,Saudi Arabia,Al Raed,Pro League
A. Al Migbas,ST,56,Saudi Arabia,Al Shabab,Pro League
A. Al Moghir,CB,52,Saudi Arabia,Al Taawoun,Pro League
A. Al Mohaimmed,CB,52,Saudi Arabia,Al Ittifaq,Pro League
A. Al Mohammed,CDM,52,Saudi Arabia,Al Faisaly,Pro League
A. Al Moshawah,GK,50,Saudi Arabia,Al Raed,Pro League
A. Al Mousa,CAM; CM; CF,63,Saudi Arabia,Al Fateh,Pro League
A. Al Mubarak,LM; CAM,62,Saudi Arabia,Al Khaleej,Pro League
A. Al Mutair,ST,47,Saudi Arabia,Al Quadisiya,Pro League
A. Al Mutairi,CAM; RM; LM,65,Saudi Arabia,Al Ahli,Pro League
A. Al Muwallad,CB,52,Saudi Arabia,Al Hilal,Pro League
A. Al Muzayil,RB; RM,53,Saudi Arabia,Al Batin,Pro League
A. Al Najai,CB,54,Saudi Arabia,Al Faisaly,Pro League
A. Al Najjar,RM,57,Saudi Arabia,Al Ittihad,Pro League
A. Al Nashi,CDM,58,Saudi Arabia,Ettifaq FC,Pro League
A. Al Nashri,CDM,51,Saudi Arabia,Al Ittihad,Pro League
A. Al Nassar,LM; LW,52,Saudi Arabia,Al Orobah,Pro League
A. Al Nazera,CAM,58,Saudi Arabia,Hajer,Pro League
A. Al Nazeri,CAM,66,Saudi Arabia,Al Ittihad,Pro League
A. Al Nemer,CAM; CM; CDM,63,Saudi Arabia,Numancia,La Liga 2
A. Al Nufaili,LB,50,Saudi Arabia,Hajer,Pro League
A. Al Nufili,LB,58,Saudi Arabia,Hajer,Pro League
A. Al Oaisher,GK,65,Saudi Arabia,Al Fateh,Pro League
A. Al Obaid,RB,50,Saudi Arabia,Al Fateh,Pro League
A. Al Obud,ST,52,Saudi Arabia,Ettifaq FC,Pro League
A. Al Otaibi,LM,52,Saudi Arabia,Al Nassr,Pro League
A. Al Oufi,CAM; RM; LM,57,Saudi Arabia,Al Ahli Jeddah,Pro League
A. Al Owayshir,GK,66,Saudi Arabia,Al Fateh,Pro League
A. Al Qahtani,LM,64,Saudi Arabia,Al Fateh,Pro League
A. Al Qarni,CB,57,Saudi Arabia,Al Khaleej,Pro League
A. Al Qasir,ST; LM,52,Saudi Arabia,Al Raed,Pro League
A. Al Quseer,ST,52,Saudi Arabia,Al Raed,Pro League
A. Al Radeef,ST,52,Saudi Arabia,Al Hilal,Pro League
A. Al Raei,ST,50,Saudi Arabia,Al Ittihad,Pro League
A. Al Reshoodi,CM,49,Saudi Arabia,Al Taawoun,Pro League
A. Al Riou,LB,53,Saudi Arabia,Al Ittihad,Pro League
A. Al Rishani,CDM; CM,62,Saudi Arabia,Al Khaleej,Pro League
A. Al Ruhaili,GK,52,Saudi Arabia,Al Ahli,Pro League
A. Al Ruwaili,CB,50,Saudi Arabia,Al Orobah,Pro League
A. Al Sabahi,CM,52,Saudi Arabia,Al Batin,Pro League
A. Al Saeed,RB,57,Saudi Arabia,Al Wehda,Pro League
A. Al Safri,CDM; CM,58,Saudi Arabia,Damac FC,Pro League
A. Al Sahabi,RB; CB,67,Saudi Arabia,Al Ahli,Pro League
A. Al Sahbi,CB; RB,62,Saudi Arabia,Al Ahli,Pro League
A. Al Saleh,GK,59,Saudi Arabia,Ettifaq FC,Pro League
A. Al Salem,CDM; CAM,46,Saudi Arabia,Al Khaleej,Pro League
A. Al Salman,LM,56,Saudi Arabia,Al Taawoun,Pro League
A. Al Saluli,CB,58,Saudi Arabia,Al Ittihad,Pro League
A. Al Saman,LM,51,Saudi Arabia,Al Taawoun,Pro League
A. Al Samtai,CDM,56,Saudi Arabia,Dhamk,Pro League
A. Al Sanbi,GK,52,Saudi Arabia,Al Ahli,Pro League
A. Al Saran,CF; ST; RM,61,Saudi Arabia,Al Faisaly,Pro League
A. Al Sdairy,GK,65,Saudi Arabia,Al Hilal,Pro League
A. Al Shaefi,LB,52,Saudi Arabia,Al Khaleej,Pro League
A. Al Shagran,CDM; CM,57,Jordan,Hajer,Pro League
A. Al Shahrani,CM,52,Saudi Arabia,Al Quadisiya,Pro League
A. Al Shamekh,RB,51,Saudi Arabia,Al Hilal,Pro League
A. Al Shammari,CAM,49,Saudi Arabia,Al Orobah,Pro League
A. Al Shammary,LM,58,Saudi Arabia,Al Shabab,Pro League
A. Al Shamrani,CM,51,Saudi Arabia,Al Batin,Pro League
A. Al Shannar,ST; LM,53,Saudi Arabia,Al Raed,Pro League
A. Al Shanqeeti,CB,52,Saudi Arabia,Al Nassr,Pro League
A. Al Shanqiti,LB,64,Saudi Arabia,Al Khaleej,Pro League
A. Al Sharid,CAM,57,Saudi Arabia,Al Hilal,Pro League
A. Al Sharif,RB,58,Saudi Arabia,Al Raed,Pro League
A. Al Shehri,ST; CDM,55,Saudi Arabia,Ettifaq FC,Pro League
A. Al Shehry,GK,53,Saudi Arabia,Al Qadisiyah,Pro League
A. Al Shengeeti,LB,63,Saudi Arabia,Al Khaleej,Pro League
A. Al Shereaf,CB; CDM,49,Saudi Arabia,Al Raed,Pro League
A. Al Shoula,LM; RM; ST,62,Saudi Arabia,Al Faisaly,Pro League
A. Al Shoulla,ST,53,Saudi Arabia,Al Khaleej,Pro League
A. Al Shula,LM; CAM,63,Saudi Arabia,Al Faisaly,Pro League
A. Al Shuweir,CAM,49,Saudi Arabia,Al Taawoun,Pro League
A. Al Sobea,CDM,52,Saudi Arabia,Al Shabab,Pro League
A. Al Subaey,CDM,52,Saudi Arabia,Al Shabab,Pro League
A. Al Subaie,CDM,53,Saudi Arabia,Al Shabab,Pro League
A. Al Suhail,RM; CAM,54,Saudi Arabia,Najran SC,Pro League
A. Al Suhaimi,RM,52,Saudi Arabia,Ohod Club,Pro League
A. Al Sulaiheem,LM; CAM,65,Saudi Arabia,Al Shabab,Pro League
A. Al Sulayhim,LM; CAM,62,Saudi Arabia,Al Shabab,Pro League
A. Al Sultan,CM,46,Saudi Arabia,Al Fateh,Pro League
A. Al Suwat,CM,53,Saudi Arabia,Al Hilal,Pro League
A. Al Thunayyan,GK,49,Saudi Arabia,Al Khaleej,Pro League
A. Al Tofel,CF,50,Saudi Arabia,Al Shoulla,Pro League
A. Al Traidi,RB; RM; RWB,61,Saudi Arabia,Al Khaleej,Pro League
A. Al Turki,RM,59,Saudi Arabia,Al Taawon,Pro League
A. Al Turky,ST; CAM,48,Saudi Arabia,Al Taawoun,Pro League
A. Al Yahya,ST,57,Saudi Arabia,Ohod Club,Pro League
A. Al Yami,RB; LB; RM,66,Saudi Arabia,Al Ittihad,Pro League
A. Al Yousef,LB,58,Saudi Arabia,Al Adalah,Pro League
A. Al Yousif,CDM; CB,52,Saudi Arabia,Al Fateh,Pro League
A. Al Zahrani,GK,54,Saudi Arabia,Al Raed,Pro League
A. Al Zain,RM,60,Saudi Arabia,Al Taawon,Pro League
A. Al Zaqan,RM; ST,64,Saudi Arabia,Al Wehda,Pro League
A. Al Zoari,LB; CB,68,Saudi Arabia,Al Hilal,Pro League
A. Al Zori,LB; CB,63,Saudi Arabia,Al Hilal,Pro League
A. Al Zubaidi,CDM; CM,61,Saudi Arabia,Al Orobah,Pro League
A. Al-Ammari,CM,56,Sweden,Halmstad,Allsvenskan
A. Al-Belwi,CDM; CM,55,Saudi Arabia,Al Quadisiya,Pro League
A. Al-Bilady,ST,52,Saudi Arabia,Al Fateh,Pro League
A. Al-Dakhil,CB,62,Belgium,Standard Liège,Jupiler Pro League
A. Al-Dawsari,LB; CB; RB,55,Saudi Arabia,Al Fateh,Pro League
A. Al-Dhefere,ST,56,Saudi Arabia,Al Taawon,Pro League
A. Al-Habsi,GK,74,Oman,Wigan Athletic,Championship
A. Al-Hamadi,ST,56,Iraq,Wycombe Wanderers,League One
A. Al-Hamawi,ST,58,Iraq,Helsingborg,Allsvenskan
A. Al-Mazidi,GK,60,Saudi Arabia,Al Fateh,Pro League
A. Al-Mbarak,LM; CDM; CAM,61,Saudi Arabia,Al Fateh,Pro League
A. Al-Nazeri,CAM,66,Saudi Arabia,Al Ittihad,Pro League
A. Al-Oaisher,GK,65,Saudi Arabia,Al Fateh,Pro League
A. Al-Shereaf,RB,58,Saudi Arabia,Al Raed,Pro League
A. Al-Sulaiheem,LM; CAM,63,Saudi Arabia,Al Shabab,Pro League
A. AlAmri,GK,49,Saudi Arabia,Al Ittihad,Pro League
A. Alaaeldin,ST; RW,65,Qatar,,
A. Alammar,CM,48,Saudi Arabia,Al Hilal,Pro League
A. Alba,RB,54,Colombia,Cúcuta Deportivo,Liga BetPlay
A. Albalawi,CDM,47,Saudi Arabia,Al Qadisiyah,Pro League
A. Albanese,LM; RM; CAM,64,Belgium,Waasland-Beveren,Jupiler Pro League
A. Albech,RB,54,Denmark,Sarpsborg 08 FF,Eliteserien
A. Albers,ST,53,Denmark,Silkeborg IF,Superliga
A. Albertsen,GK,52,Norway,Sandefjord,Eliteserien
A. Albleahy,CB,57,Saudi Arabia,Al Fateh,Pro League
A. Albu,CB; LB,54,Romania,Academica Clinceni,Liga 1
A. Albulayhi,CB,57,Saudi Arabia,Al Fateh,Pro League
A. Alcaraz,CB,74,Paraguay,Everton,Premier League
A. Alcayaga,GK,53,Argentina,Club Atlético Banfield,Liga Profesional
A. Alcorcel,GK,61,Argentina,Platense,Liga Profesional
A. Alcáceres,CB,73,Paraguay,,
A. Alcáraz,CB,72,Paraguay,Club Olimpia,Primera División
A. Aldalla,GK,53,Argentina,Godoy Cruz,Liga Profesional
A. Aldrete,CB; LB; LWB,67,Mexico,Santos Laguna,Liga MX
A. Ale,CB,65,Uruguay,Delfin,Liga Pro
A. Alegre,CB; RB,64,Argentina,Quilmes Atlético Club,Liga Profesional
A. Aleksandrov,CB,66,Bulgaria,,
A. Aleo,ST,59,Argentina,Godoy Cruz,Liga Profesional
A. Alese,CB,55,England,Accrington Stanley,League One
A. Alesevic,CB,49,Bosnia and Herzegovina,FC Zürich,Super League
A. Alessandro,CDM,60,Belgium,KVC Westerlo,Jupiler Pro League
A. Alfageme,CDM,65,Peru,,
A. Alfaro,LM; LW,53,Uruguay,Fénix,Primera Division
A. Alfárnez,ST,73,Ecuador,,
A. Alhdheriti,ST,53,Saudi Arabia,Al Raed,Pro League
A. Ali,CB,56,India,FC Goa,Super League
A. Ali Mohamed,RB,62,Comoros,Olympique Marseille,Ligue 1
A. Alibekov,CDM; CM; CB,57,Ukraine,Dynamo Kyiv,Premier League
A. Aliev,ST,58,Russia,CSKA Moskva,Premier League
A. Alipour,ST,66,Iran,Clube Sport Marítimo,Liga Portugal
A. Alisic,CM; CAM,61,Netherlands,FC Dordrecht,Eredivisie
A. Alkan,GK,56,Turkey,Hatayspor,Super Lig
A. Alkhaibari,CDM,55,Saudi Arabia,Al Shabab,Pro League
A. Allemeersch,ST,58,Belgium,Oud-Heverlee Leuven,Jupiler Pro League
A. Allione,RM; CAM,71,Argentina,Palmeiras,Rest of World
