name,positions,rating,club,league,nationality
Inigo Martinez,CB,84,FC Barcelona,La Liga,Spain
Francesco Acerbi,CB,84,Inter,Serie A,Italy
David Alaba,CB,84,Real Madrid,La Liga,Austria
Iago Aspas,ST,84,RC Celta,La Liga,Spain
Ilkay Gundogan,CM,84,Manchester City,Premier League,Germany
Peter Gulacsi,GK,84,RB Leipzig,Bundesliga,Hungary
Manuel Neuer,GK,84,FC Bayern München,Bundesliga,Germany
Bradley Barcola,LW,83,Paris Saint-Germain,Ligue 1,France
Micky van de Ven,CB,83,Tottenham Hotspur,Premier League,Netherlands
Gavi,CM,83,FC Barcelona,La Liga,Spain
Balde,LB,83,FC Barcelona,La Liga,Spain
Piero Hincapie,CB,83,Bayer 04 Leverkusen,Bundesliga,Ecuador
Willian Pacho,CB,83,Paris Saint-Germain,Ligue 1,Ecuador
Marco Carnesecchi,GK,83,Atalanta,Serie A,Italy
Nuno Mendes,LB,83,Paris Saint-Germain,Ligue 1,Portugal
Vivian,CB,83,Athletic Club,La Liga,Spain
Eduardo Camavinga,CM,83,Real Madrid,La Liga,France
Enzo Fernandez,CM,83,Chelsea,Premier League,Argentina
Dusan Vlahovic,ST,83,Juventus,Serie A,Serbia
Sancet,CAM,83,Athletic Club,La Liga,Spain
Anthony Gordon,LW,83,Newcastle United,Premier League,England
Artem Dovbyk,ST,83,Roma,Serie A,Ukraine
Guglielmo Vicario,GK,83,Tottenham Hotspur,Premier League,Italy
Lisandro Martinez,CB,83,Manchester United,Premier League,Argentina
Marc Cucurella,LB,83,Chelsea,Premier League,Spain
Kim Min Jae,CB,83,FC Bayern München,Bundesliga,Korea Republic
Boubacar Kamara,CDM,83,Aston Villa,Premier League,France
Matthijs de Ligt,CB,83,Manchester United,Premier League,Netherlands
Robin Le Normand,CB,83,Atlético Madrid,La Liga,Spain
Denzel Dumfries,RB,83,Inter,Serie A,Netherlands
Cristian Romero,CB,83,Tottenham Hotspur,Premier League,Argentina
Gianluca Mancini,CB,83,Roma,Serie A,Italy
Palhinha,CDM,83,FC Bayern München,Bundesliga,Portugal
Manuel Akanji,CB,83,Manchester City,Premier League,Switzerland
Aleix Garcia,CM,83,Bayer 04 Leverkusen,Bundesliga,Spain
Fabian Ruiz,CM,83,Paris Saint-Germain,Ligue 1,Spain
Marcos Llorente,RM,83,Atlético Madrid,La Liga,Spain
Konrad Laimer,CDM,83,FC Bayern München,Bundesliga,Austria
Ivan Provedel,GK,83,Lazio,Serie A,Italy
Manuel Locatelli,CDM,83,Juventus,Serie A,Italy
Mattia Zaccagni,LW,83,Lazio,Serie A,Italy
Giovanni Di Lorenzo,RB,83,Napoli,Serie A,Italy
Jose Maria Gimenez,CB,83,Atlético Madrid,La Liga,Uruguay
Stanislav Lobotka,CM,83,Napoli,Serie A,Slovakia
Youri Tielemans,CM,83,Aston Villa,Premier League,Belgium
Inaki Williams,RM,83,Athletic Club,La Liga,Ghana
Robert Andrich,CDM,83,Bayer 04 Leverkusen,Bundesliga,Germany
Alessio Romagnoli,CB,83,Lazio,Serie A,Italy
Thomas Partey,CDM,83,Arsenal,Premier League,Ghana
Leon Goretzka,CM,83,FC Bayern München,Bundesliga,Germany
Nathan Ake,CB,83,Manchester City,Premier League,Netherlands
Gerard Moreno,ST,83,Villarreal CF,La Liga,Spain
Leandro Trossard,LW,83,Arsenal,Premier League,Belgium
Mateo Kovacic,CM,83,Manchester City,Premier League,Croatia
Jordan Pickford,GK,83,Everton,Premier League,England
Willi Orban,CB,83,RB Leipzig,Bundesliga,Hungary
John Stones,CB,83,Manchester City,Premier League,England
Stefan de Vrij,CB,83,Inter,Serie A,Netherlands
Isco,CAM,83,Real Betis Balompié,La Liga,Spain
Oliver Baumann,GK,83,TSG 1899 Hoffenheim,Bundesliga,Germany
Henrikh Mkhitaryan,CM,83,Inter,Serie A,Armenia
Romelu Lukaku,ST,83,Napoli,Serie A,Belgium
Lukas Hradecky,GK,83,Bayer 04 Leverkusen,Bundesliga,Finland
Savinho,LW,82,Manchester City,Premier League,Brazil
Alex Baena,LM,82,Villarreal CF,La Liga,Spain
Kaoru Mitoma,LM,82,Brighton & Hove Albion,Premier League,Japan
Sven Botman,CB,82,Newcastle United,Premier League,Holland
Jurrien Timber,CB,82,Arsenal,Premier League,Netherlands
Lucas Chevalier,GK,82,Lille OSC,Ligue 1,France
Gabriel Martinelli,LW,82,Arsenal,Premier League,Brazil
Zubimendi,CDM,82,Real Sociedad,La Liga,Spain
Victor Boniface,ST,82,Bayer 04 Leverkusen,Bundesliga,Nigeria
Edmond Tapsoba,CB,82,Bayer 04 Leverkusen,Bundesliga,Burkina Faso
David Hancko,CB,82,Feyenoord,Eredivisie,Slovakia
Mason Greenwood,RM,82,Olympique de Marseille,Ligue 1,England
Jonathan David,ST,82,Lille OSC,Ligue 1,Canada
Pedro Porro,RB,82,Tottenham Hotspur,Premier League,Spain
Bryan Mbeumo,RW,82,Brentford,Premier League,Cameroon
Teun Koopmeiners,CM,82,Juventus,Serie A,Netherlands
Davide Frattesi,CM,82,Inter,Serie A,Italy
Reece James,RB,82,Chelsea,Premier League,England
Reece James,LB,82,Chelsea,Premier League,England
Takefusa Kubo,RW,82,Real Sociedad,La Liga,Japan
Dominik Szoboszlai,CAM,82,Liverpool,Premier League,Hungary
Douglas Luiz,CM,82,Juventus,Serie A,Brazil
Matteo Guendouzi,CM,82,Lazio,Serie A,France
Kai Havertz,ST,82,Arsenal,Premier League,Germany
Fikayo Tomori,CB,82,AC Milan,Serie A,England
Christopher Nkunku,CAM,82,Chelsea,Premier League,France
Brahim,CAM,82,Real Madrid,La Liga,Morocco
Oyarzabal,ST,82,Real Sociedad,La Liga,Spain
Waldemar Anton,CB,82,Borussia Dortmund,Bundesliga,Germany
Antonee Robinson,LB,82,Fulham FC,Premier League,United States
Ferland Mendy,LB,82,Real Madrid,La Liga,France
Ezri Konsa,CB,82,Aston Villa,Premier League,England
Andre Onana,GK,82,Manchester United,Premier League,Cameroon
Alex Berenguer,LM,82,Athletic Club,La Liga,Spain
Alex Meret,GK,82,Napoli,Serie A,Italy
Jarrod Bowen,RM,82,West Ham United,Premier League,England
Joelinton,CM,82,Newcastle United,Premier League,Brazil
Lucas Hernandez,CB,82,Paris Saint-Germain,Ligue 1,France
Lucas Hernandez,LB,82,Paris Saint-Germain,Ligue 1,France
Alexander Sørloth,ST,82,Atlético Madrid,La Liga,Norway
Andrew Robertson,LB,82,Liverpool,Premier League,Scotland
Duvan Zapata,ST,82,Torino,Serie A,Colombia
Andreas Christensen,CB,82,FC Barcelona,La Liga,Denmark
Julian Brandt,CAM,82,Borussia Dortmund,Bundesliga,Germany
Gaya,LB,82,Valencia CF,La Liga,Spain
Piotr Zielinski,CM,82,Inter,Serie A,Poland
Fabian Schar,CB,82,Newcastle United,Premier League,Switzerland
Emre Can,CDM,82,Borussia Dortmund,Bundesliga,Germany
Serge Gnabry,RM,82,FC Bayern München,Bundesliga,Germany
Marcel Sabitzer,CM,82,Borussia Dortmund,Bundesliga,Austria
Nick Pope,GK,82,Newcastle United,Premier League,England
Koke,CDM,82,Atlético Madrid,La Liga,Spain
Parejo,CM,82,Villarreal CF,La Liga,Spain
Kevin Trapp,GK,82,Eintracht Frankfurt,Bundesliga,Germany
Kyle Walker,RB,82,AC Milan,Serie A,England
Pau Cubarsi,CB,81,FC Barcelona,La Liga,Spain
Murillo,CB,81,Nottingham Forest,Premier League,Brazil
Desire Doue,LM,81,Paris Saint-Germain,Ligue 1,France
Ederson,CM,81,Atalanta,Serie A,Brazil
Miguel Gutierrez,LB,81,Girona FC,La Liga,Spain
Milos Kerkez,LB,81,AFC Bournemouth,Premier League,Hungary
Morgan Rogers,LM,81,Aston Villa,Premier League,England
Destiny Udogie,LB,81,Tottenham Hotspur,Premier League,Italy
Nicolas Jackson,ST,81,Chelsea,Premier League,Senegal
Charles De Ketelaere,CAM,81,Atalanta,Serie A,Belgium
Angelo Stiller,CDM,81,VfB Stuttgart,Bundesliga,Germany
Felix Nmecha,CM,81,Borussia Dortmund,Bundesliga,Germany
Youssouf Fofana,CDM,81,AC Milan,Serie A,France
Nayef Aguerd,CB,81,Real Sociedad,La Liga,Morocco
Viktor Tsygankov,RM,81,Girona FC,La Liga,Ukraine
Andriy Lunin,GK,81,Real Madrid,La Liga,Ukraine
Alessandro Buongiorno,CB,81,Napoli,Serie A,Italy
Pau Torres,CB,81,Aston Villa,Premier League,Spain
Ferran Torres,LW,81,FC Barcelona,La Liga,Spain
Marc Guehi,CB,81,Crystal Palace,Premier League,England
Matheus Cunha,ST,81,Wolverhampton Wanderers,Premier League,Brazil
Conor Gallagher,CM,81,Atlético Madrid,La Liga,England
Nikola Milenkovic,CB,81,Nottingham Forest,Premier League,Serbia
Randal Kolo Muani,ST,81,Juventus,Serie A,France
Scott McTominay,CDM,81,Napoli,Serie A,Scotland
David Raum,LB,81,RB Leipzig,Bundesliga,Germany
David Neres,LM,81,Napoli,Serie A,Brazil
Moise Kean,ST,81,Fiorentina,Serie A,Italy
Robin Koch,CB,81,Eintracht Frankfurt,Bundesliga,Germany
Noussair Mazraoui,RB,81,Manchester United,Premier League,Morocco
Morgan Gibbs-White,CAM,81,Nottingham Forest,Premier League,England
Brais Mendez,CM,81,Real Sociedad,La Liga,Spain
Michele Di Gregorio,GK,81,Juventus,Serie A,Italy
Eberechi Eze,CAM,81,Crystal Palace,Premier League,England
Yangel Herrera,CDM,81,Girona FC,La Liga,Venezuela
Riccardo Orsolini,RM,81,Bologna,Serie A,Italy
Xaver Schlager,CDM,81,RB Leipzig,Bundesliga,Austria
Nahuel Molina,RB,81,Atlético Madrid,La Liga,Argentina
Jadon Sancho,LM,81,Chelsea,Premier League,England
Ritsu Doan,RM,81,SC Freiburg,Bundesliga,Japan
Dodi Lukebakio,RW,81,Sevilla FC,La Liga,Belgium
Lucas Perri,GK,81,Olympique Lyonnais,Ligue 1,Brazil
Denis Zakaria,CDM,81,AS Monaco,Ligue 1,Switzerland
Benjamin Henrichs,RB,81,RB Leipzig,Bundesliga,Germany
Lorenzo Pellegrini,CAM,81,Roma,Serie A,Italy
Yeray,CB,81,Athletic Club,La Liga,Spain
Rodrigo Bentancur,CM,81,Tottenham Hotspur,Premier League,Uruguay
Andre-Franck Zambo Anguissa,CDM,81,Napoli,Serie A,Cameroon
Ismael Bennacer,CDM,81,Olympique de Marseille,Ligue 1,Algeria
Giovani Lo Celso,CAM,81,Real Betis Balompié,La Liga,Argentina
David Soria,GK,81,Getafe CF,La Liga,Spain
Andrej Kramaric,ST,81,TSG 1899 Hoffenheim,Bundesliga,Croatia
Geronimo Rulli,GK,81,Olympique de Marseille,Ligue 1,Argentina
Angel Correa,ST,81,Atlético Madrid,La Liga,Argentina
Tim Kleindienst,ST,81,Borussia Mönchengladbach,Bundesliga,Germany
Pierre-Emile Højbjerg,CDM,81,Olympique de Marseille,Ligue 1,Denmark
Niklas Sule,CB,81,Borussia Dortmund,Bundesliga,Germany
John McGinn,CM,81,Aston Villa,Premier League,Scotland
Raphael Guerreiro,LB,81,FC Bayern München,Bundesliga,Portugal
Matthias Ginter,CB,81,SC Freiburg,Bundesliga,Germany
Jack Grealish,LW,81,Manchester City,Premier League,England
Jorginho,CDM,81,Arsenal,Premier League,Italy
Paulo Gazzaniga,GK,81,Girona FC,La Liga,Argentina
Brice Samba,GK,81,Stade Rennais FC,Ligue 1,France
Sergi Darder,CM,81,RCD Mallorca,La Liga,Spain
Remo Freuler,CDM,81,Bologna,Serie A,Switzerland
Casemiro,CDM,81,Manchester United,Premier League,Brazil
Matz Sels,GK,81,Nottingham Forest,Premier League,Belgium
Bernd Leno,GK,81,Fulham FC,Premier League,Germany
Mario Gotze,CAM,81,Eintracht Frankfurt,Bundesliga,Germany
Chris Wood,ST,81,Nottingham Forest,Premier League,New Zealand
Thomas Muller,CAM,81,FC Bayern München,Bundesliga,Germany
Sergio Busquets,CDM,81,Inter Miami,Major League Soccer,Spain
Ante Budimir,ST,81,CA Osasuna,La Liga,Croatia
Kieran Trippier,RB,81,Newcastle United,Premier League,England
Matteo Darmian,RB,81,Inter,Serie A,Italy
Olivier Giroud,ST,81,Los Angeles FC,Major League Soccer,France
Luis Suarez,ST,81,Inter Miami,Major League Soccer,Uruguay
Warren Zaire-Emery,CM,80,Paris Saint-Germain,Ligue 1,France
Mohamed Amoura,ST,80,VfL Wolfsburg,Bundesliga,Algeria
Castello Lukeba,CB,80,RB Leipzig,Bundesliga,France
Benjamin Sesko,ST,80,RB Leipzig,Bundesliga,Slovenia
Pape Matar Sarr,CDM,80,Tottenham Hotspur,Premier League,Senegal
Joan Garcia,GK,80,RCD Espanyol,La Liga,Spain
Malo Gusto,RB,80,Chelsea,Premier League,France
Carlos Augusto,LM,80,Inter,Serie A,Brazil
Anthony Elanga,RM,80,Nottingham Forest,Premier League,Sweden
Goncalo Ramos,ST,80,Paris Saint-Germain,Ligue 1,Portugal
Evanilson,ST,80,AFC Bournemouth,Premier League,Brazil
Manuel Ugarte,CDM,80,Manchester United,Premier League,Uruguay
Darwin Nunez,ST,80,Liverpool,Premier League,Uruguay
Wilfried Singo,CB,80,AS Monaco,Ligue 1,Côte d'Ivoire
Karim Adeyemi,LM,80,Borussia Dortmund,Bundesliga,Germany
Quinten Timber,CM,80,Feyenoord,Eredivisie,Holland
Khephren Thuram,CM,80,Juventus,Serie A,France
Odilon Kossounou,CB,80,Atalanta,Serie A,Côte d'Ivoire
Jeremy Doku,LW,80,Manchester City,Premier League,Belgium
Boulaye Dia,ST,80,Lazio,Serie A,Senegal
Samuel Chukwueze,RW,80,AC Milan,Serie A,Nigeria
Mohammed Kudus,RM,80,West Ham United,Premier League,Ghana
Amir Rrahmani,CB,80,Napoli,Serie A,Kosovo
Jonathan Burkardt,ST,80,1. FSV Mainz 05,Bundesliga,Germany
Deniz Undav,ST,80,VfB Stuttgart,Bundesliga,Germany
Leonardo Balerdi,CB,80,Olympique de Marseille,Ligue 1,Argentina
Riqui Puig,CM,80,LA Galaxy,Major League Soccer,Spain
Joao Felix,LW,80,AC Milan,Serie A,Portugal
Curtis Jones,CM,80,Liverpool,Premier League,England
Mateo Retegui,ST,80,Atalanta,Serie A,Italy
Edon Zhegrova,RM,80,Lille OSC,Ligue 1,Kosovo
Jonathan Clauss,RB,80,OGC Nice,Ligue 1,France
Albert Guðmundsson,ST,80,Fiorentina,Serie A,Iceland
Kevin Danso,CB,80,Tottenham Hotspur,Premier League,Austria
Valentin Castellanos,ST,80,Lazio,Serie A,Argentina
Daniel Munoz,RB,80,Crystal Palace,Premier League,Colombia
Jean-Philippe Mateta,ST,80,Crystal Palace,Premier League,France
Reinildo,LB,80,Atlético Madrid,La Liga,Mozambique
Ferdi Kadıoglu,LB,80,Brighton & Hove Albion,Premier League,Turkey
Jerdy Schouten,CDM,80,PSV,Eredivisie,Netherlands
Yoane Wissa,LW,80,Brentford,Premier League,Congo DR
Harvey Barnes,LW,80,Newcastle United,Premier League,England
Diogo Dalot,RB,80,Manchester United,Premier League,Portugal
Dean Henderson,GK,80,Crystal Palace,Premier League,England
Marcus Rashford,LM,80,Aston Villa,Premier League,England
Javi Galan,LB,80,Atlético Madrid,La Liga,Spain
Donyell Malen,RM,80,Aston Villa,Premier League,Netherlands
Mile Svilar,GK,80,Roma,Serie A,Serbia
Gabriel Jesus,ST,80,Arsenal,Premier League,Brazil
Leon Bailey,RM,80,Aston Villa,Premier League,Jamaica
Aaron Wan-Bissaka,RB,80,West Ham United,Premier League,England
Maximilian Mittelstadt,LB,80,VfB Stuttgart,Bundesliga,Germany
Alexandr Golovin,LM,80,AS Monaco,Ligue 1,Russia
Dominic Solanke,ST,80,Tottenham Hotspur,Premier League,England
Ellyes Skhiri,CDM,80,Eintracht Frankfurt,Bundesliga,Tunisia
Joe Gomez,CB,80,Liverpool,Premier League,England
Ola Aina,LB,80,Nottingham Forest,Premier League,Nigeria
Alexander Nubel,GK,80,VfB Stuttgart,Bundesliga,Germany
Mario Pasalic,CM,80,Atalanta,Serie A,Croatia
Dani Ceballos,CM,80,Real Madrid,La Liga,Spain
Luciano Acosta,CAM,80,FC Dallas,Major League Soccer,Argentina
Marco Asensio,RW,80,Aston Villa,Premier League,Spain
Hamari Traore,RB,80,Real Sociedad,La Liga,Mali
Corentin Tolisso,CM,80,Olympique Lyonnais,Ligue 1,France
Alvaro Garcia,LM,80,Rayo Vallecano,La Liga,Spain
Matteo Politano,RW,80,Napoli,Serie A,Italy
Davide Zappacosta,LB,80,Atalanta,Serie A,Italy
Ruben Loftus-Cheek,CM,80,AC Milan,Serie A,England
Alex Iwobi,RM,80,Fulham FC,Premier League,Nigeria
Vincenzo Grifo,LM,80,SC Freiburg,Bundesliga,Italy
Wladimiro Falcone,GK,80,Lecce,Serie A,Italy
Marten de Roon,CM,80,Atalanta,Serie A,Holland
Bryan Cristante,CM,80,Roma,Serie A,Italy
Sead Kolasinac,CB,80,Atalanta,Serie A,Bosnia and Herzegovina
William Carvalho,CDM,80,Real Betis Balompié,La Liga,Portugal
Maximilian Arnold,CDM,80,VfL Wolfsburg,Bundesliga,Germany
Luke Shaw,LB,80,Manchester United,Premier League,England
Ruiz de Galarreta,CDM,80,Athletic Club,La Liga,Spain
Harry Maguire,CB,80,Manchester United,Premier League,England
James Tarkowski,CB,80,Everton,Premier League,England
Frederik Rønnow,GK,80,1. FC Union Berlin,Bundesliga,Denmark
Lucas Digne,LB,80,Aston Villa,Premier League,France
Stefan Ortega,GK,80,Manchester City,Premier League,Germany
Alexandre Lacazette,ST,80,Olympique Lyonnais,Ligue 1,France
Benjamin Andre,CDM,80,Lille OSC,Ligue 1,France
De Marcos,RB,80,Athletic Club,La Liga,Spain
Luuk de Jong,ST,80,PSV,Eredivisie,Holland
Jordi Alba,LB,80,Inter Miami,Major League Soccer,Spain
Carlos Baleba,CDM,79,Brighton & Hove Albion,Premier League,Cameroon
Pablo Barrios,CM,79,Atlético Madrid,La Liga,Spain
Đorđe Petrovic,GK,79,RC Strasbourg Alsace,Ligue 1,Serbia
Federico Gatti,CB,79,Juventus,Serie A,Italy
Lewis Hall,LB,79,Newcastle United,Premier League,England
Moleiro,LM,79,UD Las Palmas,La Liga,Spain
Arda Guler,CAM,79,Real Madrid,La Liga,Turkey
Levi Colwill,CB,79,Chelsea,Premier League,England
Sergi Cardona,LB,79,Villarreal CF,La Liga,Spain
Iliman Ndiaye,ST,79,Everton,Premier League,Senegal
Francisco Conceicao,RM,79,Juventus,Serie A,Portugal
Arnau Martinez,RB,79,Girona FC,La Liga,Spain
Mingueza,RB,79,RC Celta,La Liga,Spain
Johnny Cardoso,CDM,79,Real Betis Balompié,La Liga,United States
Yeremy Pino,LM,79,Villarreal CF,La Liga,Spain
Adam Wharton,CDM,79,Crystal Palace,Premier League,England
Andrea Cambiaso,RB,79,Juventus,Serie A,Italy
Arthur Theate,CB,79,Eintracht Frankfurt,Bundesliga,Belgium
Anton Stach,CM,79,TSG 1899 Hoffenheim,Bundesliga,Germany
Amadou Onana,CDM,79,Aston Villa,Premier League,Belgium
Malik Tillman,CAM,79,PSV,Eredivisie,United States
Josip Sutalo,CB,79,Ajax,Eredivisie,Croatia
Malick Thiaw,CB,79,AC Milan,Serie A,Germany
Pierre Kalulu,CB,79,Juventus,Serie A,France
Nico Gonzalez,CDM,79,Manchester City,Premier League,Spain
Nicolo Rovella,CM,79,Lazio,Serie A,Italy
Noni Madueke,RM,79,Chelsea,Premier League,England
Elliot Anderson,CM,79,Nottingham Forest,Premier League,England
Maximilian Beier,ST,79,Borussia Dortmund,Bundesliga,Germany
Joey Veerman,CM,79,PSV,Eredivisie,Holland
Ali Al Musrati,CDM,79,AS Monaco,Ligue 1,Libya
Ladislav Krejci,CB,79,Girona FC,La Liga,Czechia
Joao Pedro,ST,79,Brighton & Hove Albion,Premier League,Brazil
Joao Pedro,ST,79,Brighton & Hove Albion,Premier League,Brazil
Joao Pedro,CM,79,Brighton & Hove Albion,Premier League,Brazil
Joao Pedro,LB,79,Brighton & Hove Albion,Premier League,Brazil
Andrea Colpani,CAM,79,Fiorentina,Serie A,Italy
Rayan Cherki,CAM,79,Olympique Lyonnais,Ligue 1,France
Samuel Lino,LM,79,Atlético Madrid,La Liga,Brazil
Brennan Johnson,RM,79,Tottenham Hotspur,Premier League,Wales
Wesley Fofana,CB,79,Chelsea,Premier League,France
Ian Maatsen,LB,79,Aston Villa,Premier League,Holland
Jarrad Branthwaite,CB,79,Everton,Premier League,England
Bryan Gil,LM,79,Girona FC,La Liga,Spain
Fran Garcia,LB,79,Real Madrid,La Liga,Spain
Jean-Clair Todibo,CB,79,West Ham United,Premier League,France
Santiago Gimenez,ST,79,AC Milan,Serie A,Mexico
