name,positions,rating,club,league,nationality
Theo Hernández,LB;LM,87,Milano FC,Serie A Enilive,France
Neymar Jr,LW;CAM;LM,87,Al Hilal,ROSHN Saudi League,Brazil
Declan Rice,CDM;CM,87,Arsenal,Premier League,England
Frenkie de Jong,CM;CDM,87,FC Barcelona,LALIGA EA SPORTS,Holland
Mike Maignan,GK,87,Milano FC,Serie A Enilive,France
Bruno Fernandes,CAM;CM,87,Man Utd,Premier League,Portugal
Heung Min Son,ST;LM,87,Spurs,Premier League,Korea Republic
Marquinhos,CB,87,Paris SG,Ligue 1 McDonald's,Brazil
Alessandro Bastoni,CB,87,Lombardia FC,Serie A Enilive,Italy
İlkay Gündoğan,CM;CDM,87,Manchester City,Premier League,Germany
Emiliano Martínez,GK,87,Aston Villa,Premier League,Argentina
Nicolò Barella,CM;CDM,87,Lombardia FC,Serie A Enilive,Italy
Yann Sommer,GK,87,Lombardia FC,Serie A Enilive,Switzerland
Cristiano Ronaldo,ST,86,Al Nassr,ROSHN Saudi League,Portugal
Gabriel,CB,86,Arsenal,Premier League,Brazil
Granit Xhaka,CDM;CM,86,Leverkusen,Bundesliga,Switzerland
Rodrygo,RW;ST;RM,86,Real Madrid,LALIGA EA SPORTS,Brazil
João Cancelo,LB;RB;RM,86,Al Hilal,ROSHN Saudi League,Portugal
Rafael Leão,LW;LM;ST,86,Milano FC,Serie A Enilive,Portugal
Grimaldo,LM;LB;LW,86,Leverkusen,Bundesliga,Spain
Luka Modrić,CM;CAM;CDM,86,Real Madrid,LALIGA EA SPORTS,Croatia
Alexis Mac Allister,CM;CDM,86,Liverpool,Premier League,Argentina
Carvajal,RB,86,Real Madrid,LALIGA EA SPORTS,Spain
Ousmane Dembélé,RW;CAM;RM,86,Paris SG,Ligue 1 McDonald's,France
Trent Alexander-Arnold,RB,86,Liverpool,Premier League,England
Pedri,CM;LW,86,FC Barcelona,LALIGA EA SPORTS,Spain
Jonathan Tah,CB,86,Leverkusen,Bundesliga,Germany
Karim Benzema,ST,86,Al Ittihad,ROSHN Saudi League,France
Bremer,CB,86,Juventus,Serie A Enilive,Brazil
Joshua Kimmich,RB;CDM;CM,86,FC Bayern München,Bundesliga,Germany
Unai Simón,GK,86,Athletic Club,LALIGA EA SPORTS,Spain
Manuel Neuer,GK,86,FC Bayern München,Bundesliga,Germany
Hakan Çalhanoğlu,CDM;CM,86,Lombardia FC,Serie A Enilive,Turkey
David Alaba,CB;LB,85,Real Madrid,LALIGA EA SPORTS,Austria
Ronald Araujo,CB;RB,85,FC Barcelona,LALIGA EA SPORTS,Uruguay
Julian Brandt,CAM;RM;CM,85,Borussia Dortmund,Bundesliga,Germany
Éder Militão,CB,85,Real Madrid,LALIGA EA SPORTS,Brazil
Bruno Guimarães,CDM;CM,85,Newcastle Utd,Premier League,Brazil
Alexander Isak,ST,85,Newcastle Utd,Premier League,Sweden
N'Golo Kanté,CDM;CM,85,Al Ittihad,ROSHN Saudi League,France
Jules Koundé,RB;CB,85,FC Barcelona,LALIGA EA SPORTS,France
Khvicha Kvaratskhelia,LW;RW;LM,85,SSC Napoli,Serie A Enilive,Georgia
Vitinha,CM;CDM,85,Paris SG,Ligue 1 McDonald's,Portugal
James Maddison,CAM;RM,85,Spurs,Premier League,England
Riyad Mahrez,RM;RW,85,Al Ahli,ROSHN Saudi League,Algeria
Giorgi Mamardashvili,GK,85,Valencia CF,LALIGA EA SPORTS,Georgia
Mikel Merino,CM;CAM,85,Arsenal,Premier League,Spain
Sergej Milinković-Savić,CM;CDM,85,Al Hilal,ROSHN Saudi League,Serbia
Loïs Openda,ST,85,RB Leipzig,Bundesliga,Belgium
Palhinha,CDM;CM,85,FC Bayern München,Bundesliga,Portugal
Cole Palmer,RM;CAM;RW,85,Chelsea,Premier League,England
Andrew Robertson,LB,85,Liverpool,Premier League,Scotland
Leroy Sané,RM;LM;RW,85,FC Bayern München,Bundesliga,Germany
Nico Schlotterbeck,CB,85,Borussia Dortmund,Bundesliga,Germany
John Stones,CB;CDM;RB,85,Manchester City,Premier League,England
Aurélien Tchouaméni,CDM;CM;CB,85,Real Madrid,LALIGA EA SPORTS,France
Diogo Jota,ST;LW,85,Liverpool,Premier League,Portugal
Sandro Tonali,CDM;CM,85,Newcastle Utd,Premier League,Italy
Ollie Watkins,ST,85,Aston Villa,Premier League,England
Nico Williams,LM;RM;LW,85,Athletic Club,LALIGA EA SPORTS,Spain
Francesco Acerbi,CB,84,Lombardia FC,Serie A Enilive,Italy
Manuel Akanji,CB,84,Manchester City,Premier League,Switzerland
Nathan Aké,CB;LB,84,Manchester City,Premier League,Holland
Julián Álvarez,ST;CAM,84,Atlético de Madrid,LALIGA EA SPORTS,Argentina
Iago Aspas,ST,84,RC Celta,LALIGA EA SPORTS,Spain
Yassine Bounou,GK,84,Al Hilal,ROSHN Saudi League,Morocco
Federico Chiesa,RW;LW;ST;RM,84,Liverpool,Premier League,Italy
Kingsley Coman,LM;RM;LW,84,FC Bayern München,Bundesliga,France
Rúben Neves,CDM;CM,84,Al Hilal,ROSHN Saudi League,Portugal
Matthijs de Ligt,CB,84,Man Utd,Premier League,Holland
Rodrigo De Paul,CM;CDM,84,Atlético de Madrid,LALIGA EA SPORTS,Argentina
Raphinha,RW;LW;RM,84,FC Barcelona,LALIGA EA SPORTS,Brazil
Luis Díaz,LW;RW;LM,84,Liverpool,Premier League,Colombia
Federico Dimarco,LB;LM,84,Lombardia FC,Serie A Enilive,Italy
Artem Dovbyk,ST,84,AS Roma,Serie A Enilive,Ukraine
Jeremie Frimpong,RM;RB;RW,84,Leverkusen,Bundesliga,Holland
Aleix García,CM;CDM,84,Leverkusen,Bundesliga,Spain
Jack Grealish,LW;LM,84,Manchester City,Premier League,England
Serhou Guirassy,ST,84,Borussia Dortmund,Bundesliga,Guinea
Viktor Gyökeres,ST;LW,84,Sporting CP,Liga Portugal,Sweden
Achraf Hakimi,RB,84,Paris SG,Ligue 1 McDonald's,Morocco
Lukáš Hrádecký,GK,84,Leverkusen,Bundesliga,Finland
Kalidou Koulibaly,CB,84,Al Hilal,ROSHN Saudi League,Senegal
Sadio Mané,LM;RM;ST;LW,84,Al Nassr,ROSHN Saudi League,Senegal
Lisandro Martínez,CB,84,Man Utd,Premier League,Argentina
Diogo Costa,GK,84,FC Porto,Liga Portugal,Portugal
Ferland Mendy,LB,84,Real Madrid,LALIGA EA SPORTS,France
Christopher Nkunku,CAM;ST,84,Chelsea,Premier League,France
Dani Olmo,CAM;CM,84,FC Barcelona,LALIGA EA SPORTS,Spain
Exequiel Palacios,CM;CDM,84,Leverkusen,Bundesliga,Argentina
Benjamin Pavard,CB;RB,84,Lombardia FC,Serie A Enilive,France
Álex Remiro,GK,84,Real Sociedad,LALIGA EA SPORTS,Spain
Cristian Romero,CB,84,Spurs,Premier League,Argentina
Marcel Sabitzer,CM;CAM;CDM,84,Borussia Dortmund,Bundesliga,Austria
Casemiro,CDM;CM,84,Man Utd,Premier League,Brazil
Guglielmo Vicario,GK,84,Spurs,Premier League,Italy
Dušan Vlahović,ST,84,Juventus,Serie A Enilive,Serbia
Kyle Walker,RB,84,Manchester City,Premier League,England
Benjamin White,RB;CB,84,Arsenal,Premier League,England
Marcos Acuña,LB;LM,83,River Plate,Libertadores,Argentina
Robert Andrich,CDM;CM;CB,83,Leverkusen,Bundesliga,Germany
Ismaël Bennacer,CDM;CM;CAM,83,Milano FC,Serie A Enilive,Algeria
Domenico Berardi,RW;RM,83,Sassuolo,Serie BKT,Italy
Eduardo Camavinga,CM;CDM;LB,83,Real Madrid,LALIGA EA SPORTS,France
Yannick Carrasco,LW;LM,83,Al Shabab,ROSHN Saudi League,Belgium
Andreas Christensen,CB;CDM,83,FC Barcelona,LALIGA EA SPORTS,Denmark
Stefan de Vrij,CB,83,Lombardia FC,Serie A Enilive,Holland
Ángel Di María,RM;CAM;RW,83,SL Benfica,Liga Portugal,Argentina
Moussa Diaby,RM;ST;CAM;RW,83,Al Ittihad,ROSHN Saudi League,France
Youssef En-Nesyri,ST,83,Fenerbahçe,Trendyol Süper Lig,Morocco
Rafa,CAM;ST,83,Beşiktaş,Trendyol Süper Lig,Portugal
Cody Gakpo,ST;LW,83,Liverpool,Premier League,Holland
José María Giménez,CB,83,Atlético de Madrid,LALIGA EA SPORTS,Uruguay
Olivier Giroud,ST,83,LAFC,MLS,France
Leon Goretzka,CM;CDM,83,FC Bayern München,Bundesliga,Germany
Joško Gvardiol,LB;CB,83,Manchester City,Premier League,Croatia
Kai Havertz,ST;CM,83,Arsenal,Premier League,Germany
Lucas Hernández,CB;LB,83,Paris SG,Ligue 1 McDonald's,France
Mauro Icardi,ST,83,Galatasaray,Trendyol Süper Lig,Argentina
Kim Min Jae,CB,83,FC Bayern München,Bundesliga,Korea Republic
Ibrahima Konaté,CB,83,Liverpool,Premier League,France
Teun Koopmeiners,CM;CAM,83,Juventus,Serie A Enilive,Holland
Mateo Kovačić,CM;CDM,83,Manchester City,Premier League,Croatia
Konrad Laimer,CDM;CM;RB,83,FC Bayern München,Bundesliga,Austria
Aymeric Laporte,CB,83,Al Nassr,ROSHN Saudi League,Spain
Robin Le Normand,CB,83,Atlético de Madrid,LALIGA EA SPORTS,Spain
Marcos Llorente,RM;RB;CM;RW,83,Atlético de Madrid,LALIGA EA SPORTS,Spain
Manuel Locatelli,CDM;CM,83,Juventus,Serie A Enilive,Italy
Donyell Malen,RM;ST;LM;RW,83,Borussia Dortmund,Bundesliga,Holland
Gabriel Martinelli,LW;RW;LM,83,Arsenal,Premier League,Brazil
Henrikh Mkhitaryan,CM;CAM,83,Lombardia FC,Serie A Enilive,Armenia
Morata,ST,83,Milano FC,Serie A Enilive,Spain
Gerard Moreno,ST;RW;CAM,83,Villarreal CF,LALIGA EA SPORTS,Spain
André Onana,GK,83,Man Utd,Premier League,Cameroon
Willi Orban,CB,83,RB Leipzig,Bundesliga,Hungary
Gavi,CM;LW,83,FC Barcelona,LALIGA EA SPORTS,Spain
Parejo,CM;CDM,83,Villarreal CF,LALIGA EA SPORTS,Spain
Lorenzo Pellegrini,CAM;CM,83,AS Roma,Serie A Enilive,Italy
Pedro Gonçalves,LW;CAM;CM;LM,83,Sporting CP,Liga Portugal,Portugal
Jordan Pickford,GK,83,Everton,Premier League,England
Nick Pope,GK,83,Newcastle Utd,Premier League,England
Pedro Porro,RB,83,Spurs,Premier League,Spain
Ivan Provedel,GK,83,Latium,Serie A Enilive,Italy
Christian Pulisic,RW;RM;LW,83,Milano FC,Serie A Enilive,United States
David Raya,GK,83,Arsenal,Premier League,Spain
Koke,CDM;CM,83,Atlético de Madrid,LALIGA EA SPORTS,Spain
Guido Rodríguez,CDM;CM,83,West Ham,Premier League,Argentina
Alessio Romagnoli,CB,83,Latium,Serie A Enilive,Italy
Xavi Simons,CAM;LW,83,RB Leipzig,Bundesliga,Holland
Douglas Luiz,CM;CDM,83,Juventus,Serie A Enilive,Brazil
Dušan Tadić,LM;LW,83,Fenerbahçe,Trendyol Süper Lig,Serbia
Edmond Tapsoba,CB,83,Leverkusen,Bundesliga,Burkina Faso
Nuno Mendes,LB,83,Paris SG,Ligue 1 McDonald's,Portugal
Marcus Thuram,ST,83,Lombardia FC,Serie A Enilive,France
Fikayo Tomori,CB,83,Milano FC,Serie A Enilive,England
Lucas Torreira,CDM;CM,83,Galatasaray,Trendyol Süper Lig,Uruguay
Kieran Trippier,RB,83,Newcastle Utd,Premier League,England
Leandro Trossard,LW;ST;LM,83,Arsenal,Premier League,Belgium
Viktor Tsygankov,RM;CM;CAM;RW,83,Girona FC,LALIGA EA SPORTS,Ukraine
Mattia Zaccagni,LW;CAM;LM,83,Latium,Serie A Enilive,Italy
Duván Zapata,ST,83,Torino,Serie A Enilive,Colombia
Isco,CAM;LM;CM,82,Real Betis,LALIGA EA SPORTS,Spain
Joelinton,CM;LW,82,Newcastle Utd,Premier League,Brazil
Pepê,CAM;RM;LM,82,FC Porto,Liga Portugal,Brazil
Pierre-Emerick Aubameyang,ST,82,Al Qadisiyah,ROSHN Saudi League,Gabon
Leon Bailey,RM;ST;RW,82,Aston Villa,Premier League,Jamaica
Oliver Baumann,GK,82,TSG Hoffenheim,Bundesliga,Germany
Victor Boniface,ST,82,Leverkusen,Bundesliga,Nigeria
Sven Botman,CB,82,Newcastle Utd,Premier League,Holland
Jarrod Bowen,RM;ST;RW,82,West Ham,Premier League,England
Marcelo Brozović,CDM;CM,82,Al Nassr,ROSHN Saudi League,Croatia
Moisés Caicedo,CDM;CM,82,Chelsea,Premier League,Ecuador
Emre Can,CDM;CB,82,Borussia Dortmund,Bundesliga,Germany
Marco Carnesecchi,GK,82,Bergamo Calcio,Serie A Enilive,Italy
Koen Casteels,GK,82,Al Qadisiyah,ROSHN Saudi League,Belgium
Lucas Paquetá,LM;CAM;LW,82,West Ham,Premier League,Brazil
Ángel Correa,ST;RM,82,Atlético de Madrid,LALIGA EA SPORTS,Argentina
Marc Cucurella,LB,82,Chelsea,Premier League,Spain
Danilo,CB;RB,82,Juventus,Serie A Enilive,Brazil
Otávio,CAM;RM;CM,82,Al Nassr,ROSHN Saudi League,Portugal
Diogo Dalot,RB;LB,82,Man Utd,Premier League,Portugal
Sergi Darder,CM;CAM;CDM,82,RCD Mallorca,LALIGA EA SPORTS,Spain
Alphonso Davies,LB;LM,82,FC Bayern München,Bundesliga,Canada
Giovanni Di Lorenzo,RB;RM,82,SSC Napoli,Serie A Enilive,Italy
Brahim,CAM;RW;LW,82,Real Madrid,LALIGA EA SPORTS,Morocco
Denzel Dumfries,RB;RM,82,Lombardia FC,Serie A Enilive,Holland
Edin Džeko,ST,82,Fenerbahçe,Trendyol Süper Lig,Bosnia and Herzegovina
Enzo Fernández,CM;CDM,82,Chelsea,Premier League,Argentina
Nacho Fernández,CB;LB;RB,82,Al Qadisiyah,ROSHN Saudi League,Spain
Gabriel Jesus,ST,82,Arsenal,Premier League,Brazil
Jorginho,CDM;CM,82,Arsenal,Premier League,Italy
Pau Torres,CB,82,Aston Villa,Premier League,Spain
Niclas Füllkrug,ST,82,West Ham,Premier League,Germany
Gayà,LB,82,Valencia CF,LALIGA EA SPORTS,Spain
Paulo Gazzaniga,GK,82,Girona FC,LALIGA EA SPORTS,Argentina
Matthias Ginter,CB,82,SC Freiburg,Bundesliga,Germany
Serge Gnabry,RM;ST;LM;RW,82,FC Bayern München,Bundesliga,Germany
Anthony Gordon,LW;LM,82,Newcastle Utd,Premier League,England
Raphaël Guerreiro,LB;CM,82,FC Bayern München,Bundesliga,Portugal
Péter Gulácsi,GK,82,RB Leipzig,Bundesliga,Hungary
Fabinho,CDM;CM,82,Al Ittihad,ROSHN Saudi League,Brazil
Yangel Herrera,CDM;CM,82,Girona FC,LALIGA EA SPORTS,Venezuela
Jonas Hofmann,CAM;ST,82,Leverkusen,Bundesliga,Germany
Ciro Immobile,ST,82,Beşiktaş,Trendyol Süper Lig,Italy
Reece James,RB,82,Chelsea,Premier League,England
Boubacar Kamara,CDM;CM,82,Aston Villa,Premier League,France
Franck Yannick Kessié,CDM;CM,82,Al Ahli,ROSHN Saudi League,Côte d'Ivoire
Randal Kolo Muani,ST,82,Paris SG,Ligue 1 McDonald's,France
Filip Kostić,LM;LB;LW,82,Juventus,Serie A Enilive,Serbia
Mohammed Kudus,RM;CAM;LM;RW,82,West Ham,Premier League,Ghana
Dejan Kulusevski,RM;RW;CAM,82,Spurs,Premier League,Sweden
Alexandre Lacazette,ST,82,OL,Ligue 1 McDonald's,France
Jeremías Conan Ledesma,GK,82,River Plate,Libertadores,Argentina
Bernd Leno,GK,82,Fulham,Premier League,Germany
Stanislav Lobotka,CM;CDM,82,SSC Napoli,Serie A Enilive,Slovakia
Ademola Lookman,ST,82,Bergamo Calcio,Serie A Enilive,Nigeria
Romelu Lukaku,ST,82,SSC Napoli,Serie A Enilive,Belgium
Gianluca Mancini,CB,82,AS Roma,Serie A Enilive,Italy
John McGinn,CM;CDM;RM,82,Aston Villa,Premier League,Scotland
Aleksandar Mitrović,ST,82,Al Hilal,ROSHN Saudi League,Serbia
Nahuel Molina,RB,82,Atlético de Madrid,LALIGA EA SPORTS,Argentina
Savinho,LW;LM,82,Manchester City,Premier League,Brazil
Thomas Müller,CAM;ST,82,FC Bayern München,Bundesliga,Germany
Darwin Núñez,ST,82,Liverpool,Premier League,Uruguay
Michael Olise,RM;RW;CAM,82,FC Bayern München,Bundesliga,France
Oyarzabal,ST;LW;LM,82,Real Sociedad,LALIGA EA SPORTS,Spain
Thomas Partey,CDM;CM,82,Arsenal,Premier League,Ghana
Tijjani Reijnders,CM;CDM;CAM,82,Milano FC,Serie A Enilive,Holland
Fabián Ruiz,CM;CDM,82,Paris SG,Ligue 1 McDonald's,Spain
Brice Samba,GK,82,RC Lens,Ligue 1 McDonald's,France
Sancet,CAM;CM;ST,82,Athletic Club,LALIGA EA SPORTS,Spain
Jadon Sancho,LM;RM;LW,82,Chelsea,Premier League,England
Fabian Schär,CB,82,Newcastle Utd,Premier League,Switzerland
Patrik Schick,ST,82,Leverkusen,Bundesliga,Czech Republic
Luke Shaw,LB;CB,82,Man Utd,Premier League,England
Malcom,CAM;RM,82,Al Hilal,ROSHN Saudi League,Brazil
Chris Smalling,CB,82,Al Fayha,ROSHN Saudi League,England
Alexander Sørloth,ST,82,Atlético de Madrid,LALIGA EA SPORTS,Norway
Anderson Talisca,RM;CAM;ST;RW,82,Al Nassr,ROSHN Saudi League,Brazil
Luis Suárez,ST,82,Inter Miami CF,MLS,Uruguay
Niklas Süle,CB;RB,82,Borussia Dortmund,Bundesliga,Germany
Kevin Trapp,GK,82,Frankfurt,Bundesliga,Germany
Destiny Udogie,LB,82,Spurs,Premier League,Italy
Dayot Upamecano,CB,82,FC Bayern München,Bundesliga,France
Micky van de Ven,CB,82,Spurs,Premier League,Holland
Raphaël Varane,CB,82,Como,Serie A Enilive,France
Iñaki Williams,RM;ST;RW,82,Athletic Club,LALIGA EA SPORTS,Ghana
Luciano Acosta,CAM;LM,81,FC Cincinnati,MLS,Argentina
Edson Álvarez,CDM;CM,81,West Ham,Premier League,Mexico
Yeray,CB,81,Athletic Club,LALIGA EA SPORTS,Spain
Waldemar Anton,CB;RB,81,Borussia Dortmund,Bundesliga,Germany
Alphonse Areola,GK,81,West Ham,Premier League,France
Marco Asensio,RW;CM;RM,81,Paris SG,Ligue 1 McDonald's,Spain
Balde,LB;RB;LM,81,FC Barcelona,LALIGA EA SPORTS,Spain
Rodrigo Bentancur,CM;CDM,81,Spurs,Premier League,Uruguay
Álex Berenguer,LM;RM;LW,81,Athletic Club,LALIGA EA SPORTS,Spain
Sergio Busquets,CDM;CM;CB,81,Inter Miami CF,MLS,Spain
Bryan Cristante,CM;CDM;CB,81,AS Roma,Serie A Enilive,Italy
Ricardo Horta,CAM;LM;RM,81,SC Braga,Liga Portugal,Portugal
Rui Silva,GK,81,Real Betis,LALIGA EA SPORTS,Portugal
Matteo Darmian,RB;CB;RM,81,Lombardia FC,Serie A Enilive,Italy
Jonathan David,ST,81,LOSC Lille,Ligue 1 McDonald's,Canada
Richarlison,ST;LM,81,Spurs,Premier League,Brazil
Luuk de Jong,ST,81,PSV,Eredivisie,Holland
Fred,CDM;CM,81,Fenerbahçe,Trendyol Süper Lig,Brazil
Eberechi Eze,CAM;CM;LM,81,Crystal Palace,Premier League,England
Youssouf Fofana,CDM;CM,81,Milano FC,Serie A Enilive,France
Davide Frattesi,CM;CAM,81,Lombardia FC,Serie A Enilive,Italy
Remo Freuler,CDM;CM,81,Bologna,Serie A Enilive,Switzerland
Conor Gallagher,CM;CAM;CDM,81,Atlético de Madrid,LALIGA EA SPORTS,England
Alexandr Golovin,LM;CAM;LW,81,AS Monaco,Ligue 1 McDonald's,Russia
Pascal Groß,CDM;CM,81,Borussia Dortmund,Bundesliga,Germany
Marc Guéhi,CB,81,Crystal Palace,Premier League,England
Dávid Hancko,CB;LB,81,Feyenoord,Eredivisie,Slovakia
Benjamin Henrichs,RB;RM;LB,81,RB Leipzig,Bundesliga,Germany
Piero Hincapié,CB;LB,81,Leverkusen,Bundesliga,Ecuador
Ferdi Kadıoğlu,LB;RB,81,Brighton,Premier League,Turkey
Daichi Kamada,CAM;CM,81,Crystal Palace,Premier League,Japan
Presnel Kimpembe,CB,81,Paris SG,Ligue 1 McDonald's,France
Orkun Kökçü,CM;CAM;CDM,81,SL Benfica,Liga Portugal,Turkey
Ezri Konsa,CB;RB,81,Aston Villa,Premier League,England
Odilon Kossounou,CB;RB,81,Bergamo Calcio,Serie A Enilive,Côte d'Ivoire
Andrej Kramarić,ST;CAM;CM,81,TSG Hoffenheim,Bundesliga,Croatia
Takefusa Kubo,RW;ST;RM,81,Real Sociedad,LALIGA EA SPORTS,Japan
Ruben Loftus-Cheek,CM;CAM,81,Milano FC,Serie A Enilive,England
Andriy Lunin,GK,81,Real Madrid,LALIGA EA SPORTS,Ukraine
Iñigo Martínez,CB,81,FC Barcelona,LALIGA EA SPORTS,Spain
Noussair Mazraoui,RB;LB,81,Man Utd,Premier League,Morocco
Brais Méndez,CM;RM;CAM,81,Real Sociedad,LALIGA EA SPORTS,Spain
Alex Meret,GK,81,SSC Napoli,Serie A Enilive,Italy
Arkadiusz Milik,ST,81,Juventus,Serie A Enilive,Poland
Kaoru Mitoma,LM;LW,81,Brighton,Premier League,Japan
Fernando Muslera,GK,81,Galatasaray,Trendyol Süper Lig,Uruguay
Riccardo Orsolini,RM;RW,81,Bologna,Serie A Enilive,Italy
Stefan Ortega,GK,81,Manchester City,Premier League,Germany
Nicolás Otamendi,CB,81,SL Benfica,Liga Portugal,Argentina
Isi Palazón,RM;CAM;LM;RW,81,Rayo Vallecano,LALIGA EA SPORTS,Spain
Aaron Ramsdale,GK,81,Southampton,Premier League,England
Marcus Rashford,LM;ST;LW,81,Man Utd,Premier League,England
David Raum,LB;LM,81,RB Leipzig,Bundesliga,Germany
Stefan Savić,CB,81,Trabzonspor,Trendyol Süper Lig,Montenegro
Xaver Schlager,CDM;CM,81,RB Leipzig,Bundesliga,Austria
Jerdy Schouten,CDM;CB;CM,81,PSV,Eredivisie,Holland
Ellyes Skhiri,CDM;CM,81,Frankfurt,Bundesliga,Tunisia
Milan Škriniar,CB,81,Paris SG,Ligue 1 McDonald's,Slovakia
Dominic Solanke,ST,81,Spurs,Premier League,England
David Soria,GK,81,Getafe CF,LALIGA EA SPORTS,Spain
Raheem Sterling,LM;RM;LW,81,Arsenal,Premier League,England
Dominik Szoboszlai,CAM;CM,81,Liverpool,Premier League,Hungary
Youri Tielemans,CM;CDM;CAM,81,Aston Villa,Premier League,Belgium
Manuel Ugarte,CDM;CM,81,Man Utd,Premier League,Uruguay
Deniz Undav,ST;CAM,81,VfB Stuttgart,Bundesliga,Germany
Álvaro Valles,GK,81,UD Las Palmas,LALIGA EA SPORTS,Spain
Lucas Vázquez,RB,81,Real Madrid,LALIGA EA SPORTS,Spain
Joey Veerman,CM;CDM;CAM,81,PSV,Eredivisie,Holland
Vivian,CB,81,Athletic Club,LALIGA EA SPORTS,Spain
Callum Wilson,ST,81,Newcastle Utd,Premier League,England
Lamine Yamal,RW;LW;RM,81,FC Barcelona,LALIGA EA SPORTS,Spain
Wilfried Zaha,LM;LW,81,OL,Ligue 1 McDonald's,Côte d'Ivoire
Piotr Zieliński,CM;CDM,81,Lombardia FC,Serie A Enilive,Poland
Zubimendi,CDM;CM,81,Real Sociedad,LALIGA EA SPORTS,Spain
Salem Al Dawsari,LM;LW,80,Al Hilal,ROSHN Saudi League,Saudi Arabia
Ali Al Musrati,CDM;CM,80,Beşiktaş,Trendyol Süper Lig,Libya
Jordi Alba,LB,80,Inter Miami CF,MLS,Spain
Toby Alderweireld,CB,80,Royal Antwerp FC,1A Pro League,Belgium
Joachim Andersen,CB,80,Fulham,Premier League,Denmark
Benjamin André,CDM;CM,80,LOSC Lille,Ligue 1 McDonald's,France
Marko Arnautović,ST,80,Lombardia FC,Serie A Enilive,Austria
Maximilian Arnold,CDM;CM,80,VfL Wolfsburg,Bundesliga,Germany
Fredrik Aursnes,RB;LB;LM,80,SL Benfica,Liga Portugal,Norway
Simon Banza,ST,80,SC Braga,Liga Portugal,Congo DR
Roberto Firmino,CAM;ST,80,Al Ahli,ROSHN Saudi League,Brazil
Bradley Barcola,LW;RW;LM,80,Paris SG,Ligue 1 McDonald's,France
Harvey Barnes,LW;LM,80,Newcastle Utd,Premier League,England
Christoph Baumgartner,CAM;ST,80,RB Leipzig,Bundesliga,Austria
Walter Benítez,GK,80,PSV,Eredivisie,Argentina
Gonçalo Inácio,CB;LB;CDM,80,Sporting CP,Liga Portugal,Portugal
Yves Bissouma,CDM;CM,80,Spurs,Premier League,Mali
Daley Blind,CB;LB;CDM,80,Girona FC,LALIGA EA SPORTS,Holland
Denis Bouanga,LW;ST;LM,80,LAFC,MLS,Gabon
Yan Couto,RM;RB;RW,80,Borussia Dortmund,Bundesliga,Brazil
Alessandro Buongiorno,CB,80,SSC Napoli,Serie A Enilive,Italy
Davide Calabria,RB,80,Milano FC,Serie A Enilive,Italy
Lucas Chevalier,GK,80,LOSC Lille,Ligue 1 McDonald's,France
Samuel Chukwueze,RW;RM,80,Milano FC,Serie A Enilive,Nigeria
Jonathan Clauss,RB;RM,80,OGC Nice,Ligue 1 McDonald's,France
Kevin Danso,CB,80,RC Lens,Ligue 1 McDonald's,Austria
